Date,Open,High,Low,Close,Volume
03/25/2024,"519.80","520.95","519.61","519.77","48,512,113"
03/22/2024,"522.11","522.61","520.97","521.21","79,070,844"
03/21/2024,"523.39","524.11","521.91","522.20","60,256,113"
03/20/2024,"515.77","520.62","515.08","520.48","69,594,570"
03/19/2024,"512.15","516.00","511.12","515.71","60,755,262"
03/18/2024,"514.00","515.48","512.44","512.86","88,893,328"
03/15/2024,"510.21","511.70","508.12","509.83","107,646,305"
03/14/2024,"516.97","517.13","511.82","514.95","110,171,797"
03/13/2024,"517.11","517.29","514.49","515.97","55,104,090"
03/12/2024,"513.45","517.38","510.86","516.78","73,114,438"
03/11/2024,"510.48","511.88","508.50","511.28","62,557,180"
03/08/2024,"515.46","518.22","511.13","511.72","86,532,547"
03/07/2024,"513.14","515.89","509.81","514.81","58,652,090"
03/06/2024,"510.55","512.07","508.42","509.75","68,382,367"
03/05/2024,"510.24","510.70","504.91","507.18","72,855,617"
03/04/2024,"512.03","514.20","512.00","512.30","49,799,262"
03/01/2024,"508.98","513.29","508.56","512.85","76,844,844"
02/29/2024,"508.07","509.74","505.35","508.08","83,924,797"
02/28/2024,"505.33","506.86","504.96","506.26","56,506,633"
02/27/2024,"506.70","507.16","504.75","506.93","48,854,527"
02/26/2024,"508.30","508.75","505.86","505.99","50,386,738"
02/23/2024,"509.27","510.13","507.10","507.85","61,321,820"
02/22/2024,"504.01","508.49","503.02","507.50","76,402,547"
02/21/2024,"495.42","497.37","493.56","497.21","59,603,770"
02/20/2024,"497.72","498.41","494.45","496.76","71,736,734"
02/16/2024,"501.70","502.87","498.75","499.51","75,532,930"
02/15/2024,"499.29","502.20","498.80","502.01","61,682,961"
02/14/2024,"496.79","499.07","494.40","498.57","68,387,828"
02/13/2024,"494.53","497.09","490.72","494.08","113,099,203"
02/12/2024,"501.17","503.50","500.24","500.98","56,502,281"
02/09/2024,"498.84","501.65","498.49","501.20","63,979,379"
02/08/2024,"498.10","498.71","497.26","498.32","52,343,641"
02/07/2024,"496.29","498.53","495.36","498.10","70,556,516"
02/06/2024,"493.52","494.32","492.05","493.98","55,918,602"
02/05/2024,"493.70","494.38","490.23","492.55","75,757,102"
02/02/2024,"489.65","496.05","489.30","494.35","99,228,195"
02/01/2024,"484.63","489.23","483.80","489.20","91,891,641"
01/31/2024,"488.62","489.08","482.86","482.88","126,011,102"
01/30/2024,"490.56","491.62","490.11","490.89","58,618,391"
01/29/2024,"487.73","491.42","487.17","491.27","61,322,754"
01/26/2024,"487.59","489.12","486.54","487.41","76,641,609"
01/25/2024,"487.58","488.31","485.39","488.03","72,524,992"
01/24/2024,"487.81","488.77","484.88","485.39","81,765,039"
01/23/2024,"484.01","485.11","482.89","484.86","49,945,301"
01/22/2024,"484.01","485.22","482.78","483.45","75,844,930"
01/19/2024,"477.65","482.72","476.54","482.43","110,834,492"
01/18/2024,"474.01","477.06","472.42","476.49","91,856,250"
01/17/2024,"471.82","472.79","469.87","472.29","68,843,875"
01/16/2024,"475.26","476.61","473.06","474.93","85,014,875"
01/12/2024,"477.84","478.60","475.23","476.68","58,026,422"
01/11/2024,"477.59","478.12","472.26","476.35","77,940,719"
01/10/2024,"474.16","477.45","473.87","476.56","67,310,641"
01/09/2024,"471.87","474.93","471.35","473.88","65,931,438"
01/08/2024,"468.43","474.75","468.30","474.60","74,879,070"
01/05/2024,"467.49","470.44","466.43","467.92","86,118,914"
01/04/2024,"468.30","470.96","467.05","467.28","84,232,172"
01/03/2024,"470.43","471.19","468.17","468.79","103,585,906"
01/02/2024,"472.16","473.67","470.49","472.65","123,007,797"
12/29/2023,"476.49","477.03","473.30","475.31","122,283,102"
12/28/2023,"476.88","477.55","476.26","476.69","77,158,117"
12/27/2023,"475.44","476.66","474.89","476.51","68,000,312"
12/26/2023,"474.07","476.58","473.99","475.65","55,386,953"
12/22/2023,"473.86","475.38","471.70","473.65","67,160,414"
12/21/2023,"471.33","472.98","468.84","472.70","86,667,469"
12/20/2023,"473.96","475.90","467.82","468.26","102,921,000"
12/19/2023,"472.53","474.92","472.45","474.84","55,761,809"
12/18/2023,"470.98","472.98","469.89","471.97","70,375,289"
12/15/2023,"469.49","470.70","467.43","469.33","141,553,703"
12/14/2023,"472.50","473.73","469.25","472.01","119,026,000"
12/13/2023,"464.49","470.76","464.12","470.50","93,277,961"
12/12/2023,"461.63","464.20","460.60","464.10","68,327,617"
12/11/2023,"459.69","462.17","459.47","461.99","65,002,246"
12/08/2023,"457.46","460.75","457.21","460.20","83,194,398"
12/07/2023,"456.91","458.90","456.29","458.23","66,995,445"
12/06/2023,"458.81","458.84","454.31","454.76","69,124,688"
12/05/2023,"455.26","457.59","454.87","456.60","69,793,469"
12/04/2023,"455.60","459.12","454.34","456.69","72,430,891"
12/01/2023,"455.77","459.65","455.16","459.10","89,183,398"
11/30/2023,"455.48","456.76","453.34","456.40","79,752,703"
11/29/2023,"457.15","458.32","454.20","454.61","63,145,992"
11/28/2023,"454.08","456.27","453.50","454.93","62,115,008"
11/27/2023,"454.65","455.49","454.08","454.48","50,505,992"
11/24/2023,"455.07","455.50","454.73","455.30","29,737,381"
11/22/2023,"454.98","456.38","453.89","455.02","59,446,566"
11/21/2023,"453.18","454.13","451.96","453.27","49,244,641"
11/20/2023,"450.53","455.13","450.52","454.26","70,055,633"
11/17/2023,"450.24","451.42","449.29","450.79","83,193,906"
11/16/2023,"449.22","450.56","448.12","450.23","66,665,797"
11/15/2023,"450.11","451.38","448.80","449.68","77,327,570"
11/14/2023,"446.32","450.06","446.09","448.73","97,176,945"
11/13/2023,"439.23","441.33","438.42","440.19","52,236,070"
11/10/2023,"435.98","440.93","433.83","440.61","89,558,047"
11/09/2023,"438.43","438.47","433.40","433.84","83,174,414"
11/08/2023,"437.55","438.09","434.87","437.25","61,746,031"
11/07/2023,"435.69","437.59","434.51","436.93","64,256,113"
11/06/2023,"435.47","436.15","433.68","435.69","67,831,664"
11/03/2023,"433.14","436.29","433.01","434.69","100,167,797"
11/02/2023,"426.58","430.92","426.56","430.76","94,938,914"
11/01/2023,"419.20","423.50","418.65","422.66","98,068,117"
10/31/2023,"416.18","418.53","414.21","418.20","79,665,148"
10/30/2023,"413.56","416.68","412.22","415.59","86,562,680"
10/27/2023,"414.19","414.60","409.21","410.68","107,367,695"
10/26/2023,"416.45","417.33","411.60","412.55","115,156,797"
10/25/2023,"421.89","421.92","417.02","417.55","94,223,203"
10/24/2023,"422.65","424.82","420.74","423.63","78,564,242"
10/23/2023,"419.61","424.45","417.80","420.46","92,035,102"
10/20/2023,"425.98","426.54","421.08","421.19","123,919,906"
10/19/2023,"430.95","432.82","425.73","426.43","121,323,000"
10/18/2023,"434.19","435.18","429.09","430.21","93,559,797"
10/17/2023,"432.81","438.14","432.45","436.02","75,324,711"
10/16/2023,"433.82","437.14","433.57","436.04","75,433,195"
10/13/2023,"435.21","436.45","429.88","431.50","95,201,125"
10/12/2023,"436.95","437.34","431.23","433.66","81,154,234"
10/11/2023,"435.64","436.58","433.18","436.32","62,451,738"
10/10/2023,"432.94","437.22","432.53","434.54","78,607,273"
10/09/2023,"427.58","432.88","427.01","432.29","80,374,359"
10/06/2023,"421.97","431.13","420.60","429.54","113,273,297"
10/05/2023,"424.36","425.37","421.17","424.50","70,142,734"
10/04/2023,"422.07","425.43","420.56","424.66","87,452,969"
10/03/2023,"425.06","427.37","420.18","421.59","103,760,602"
10/02/2023,"426.62","428.60","424.46","427.31","83,798,602"
09/29/2023,"431.67","431.85","425.91","427.48","115,111,297"
09/28/2023,"425.48","430.25","424.87","428.52","92,258,312"
09/27/2023,"427.09","427.67","422.29","426.05","104,705,797"
09/26/2023,"429.09","429.82","425.02","425.88","96,168,438"
09/25/2023,"429.17","432.27","428.72","432.23","70,874,531"
09/22/2023,"432.45","434.10","429.99","430.42","100,829,695"
09/21/2023,"435.70","435.97","431.23","431.39","104,095,797"
09/20/2023,"444.01","444.44","438.43","438.64","82,562,602"
09/19/2023,"442.68","443.29","439.94","442.71","66,514,648"
09/18/2023,"443.05","444.97","442.56","443.63","55,752,207"
09/15/2023,"447.14","447.48","442.92","443.37","111,848,898"
09/14/2023,"449.07","451.08","447.72","450.36","83,430,805"
09/13/2023,"446.22","447.71","445.08","446.51","60,199,273"
09/12/2023,"446.95","448.53","445.39","445.99","67,565,422"
09/11/2023,"448.24","448.77","446.47","448.45","60,180,121"
09/08/2023,"444.90","447.11","444.53","445.52","62,068,441"
09/07/2023,"443.11","445.55","442.75","444.85","70,355,430"
09/06/2023,"448.40","448.51","443.81","446.22","70,758,516"
09/05/2023,"450.73","451.06","449.17","449.24","55,166,207"
09/01/2023,"453.17","453.67","449.68","451.19","58,944,102"
08/31/2023,"451.65","452.83","450.16","450.35","66,084,562"
08/30/2023,"449.51","451.67","448.78","451.01","69,053,914"
08/29/2023,"442.65","449.45","442.46","449.16","83,081,922"
08/28/2023,"442.24","443.40","439.97","442.76","61,595,391"
08/25/2023,"438.68","441.30","435.00","439.97","102,325,102"
08/24/2023,"444.69","445.22","436.86","436.89","88,517,273"
08/23/2023,"439.25","443.67","439.10","443.03","68,441,023"
08/22/2023,"441.18","441.18","437.57","438.15","65,062,859"
08/21/2023,"437.55","440.11","435.32","439.34","68,718,961"
08/18/2023,"433.37","437.57","433.01","436.50","98,851,961"
08/17/2023,"441.16","441.43","435.75","436.29","95,711,320"
08/16/2023,"442.46","444.18","439.53","439.64","80,107,211"
08/15/2023,"446.27","446.64","442.30","442.89","75,707,531"
08/14/2023,"444.70","448.11","444.38","448.11","47,867,441"
08/11/2023,"443.97","446.70","443.35","445.65","68,690,898"
08/10/2023,"448.19","451.70","444.70","445.91","93,005,508"
08/09/2023,"449.03","449.20","444.96","445.75","78,789,586"
08/08/2023,"448.08","450.70","445.27","448.75","71,361,320"
08/07/2023,"448.71","450.87","447.99","450.71","58,357,461"
08/04/2023,"450.72","452.90","446.27","446.81","100,128,898"
08/03/2023,"448.04","450.79","447.37","448.84","64,419,688"
08/02/2023,"453.25","453.52","449.35","450.13","93,933,367"
08/01/2023,"456.27","457.25","455.49","456.48","55,502,199"
07/31/2023,"457.41","458.16","456.05","457.79","62,040,449"
07/28/2023,"455.88","457.78","452.49","456.92","80,011,789"
07/27/2023,"459.02","459.44","451.55","452.49","92,194,383"
07/26/2023,"454.47","456.99","453.38","455.51","71,052,891"
07/25/2023,"453.92","456.74","453.87","455.44","55,191,238"
07/24/2023,"453.37","455.04","452.30","454.20","54,023,379"
07/21/2023,"453.96","454.17","452.17","452.18","71,275,617"
07/20/2023,"454.17","455.10","451.44","452.18","70,591,641"
07/19/2023,"455.01","456.43","454.11","455.20","65,891,688"
07/18/2023,"450.50","454.86","450.05","454.19","80,744,445"
07/17/2023,"449.13","451.93","449.08","450.84","52,680,219"
07/14/2023,"450.48","451.36","448.49","449.28","69,815,820"
07/13/2023,"447.90","450.38","447.45","449.56","72,425,242"
07/12/2023,"446.39","447.48","444.91","446.02","91,924,531"
07/11/2023,"440.45","442.97","439.44","442.46","64,463,754"
07/10/2023,"438.18","439.84","437.59","439.66","62,443,500"
07/07/2023,"438.63","442.64","438.30","438.55","86,134,180"
07/06/2023,"439.42","440.10","437.06","439.66","80,658,305"
07/05/2023,"441.91","443.89","441.90","443.13","58,418,434"
07/03/2023,"442.92","444.08","442.63","443.79","32,793,379"
06/30/2023,"441.44","444.30","441.11","443.28","104,964,000"
06/29/2023,"435.96","438.28","435.54","438.11","67,882,305"
06/28/2023,"435.05","437.44","434.41","436.39","75,635,984"
06/27/2023,"432.35","436.81","431.88","436.17","72,813,695"
06/26/2023,"432.62","434.61","431.19","431.44","72,823,562"
06/23/2023,"432.93","435.06","432.47","433.21","92,074,547"
06/22/2023,"433.95","436.62","433.60","436.51","70,637,188"
06/21/2023,"436.16","436.99","434.33","434.94","76,982,250"
06/20/2023,"437.45","438.37","435.03","437.18","76,160,359"
06/16/2023,"443.02","443.61","438.97","439.46","114,165,797"
06/15/2023,"436.33","443.90","436.23","442.60","110,303,102"
06/14/2023,"437.01","439.06","433.59","437.18","100,612,094"
06/13/2023,"435.32","437.33","434.63","436.66","95,899,695"
06/12/2023,"430.92","433.88","430.17","433.80","76,256,703"
06/09/2023,"429.96","431.99","428.87","429.90","85,647,273"
06/08/2023,"426.62","429.60","425.82","429.13","61,952,840"
06/07/2023,"428.44","429.62","426.11","426.55","85,373,281"
06/06/2023,"426.67","428.58","425.99","428.03","64,022,180"
06/05/2023,"428.28","429.67","426.37","427.10","70,316,039"
06/02/2023,"424.50","428.74","423.95","427.92","91,426,172"
06/01/2023,"418.09","422.92","416.79","421.82","88,865,023"
05/31/2023,"418.28","419.22","416.22","417.85","110,811,797"
05/30/2023,"422.03","422.58","418.74","420.18","72,215,961"
